Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Musik und darstellende Kunst,FR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,abt-total,10,10,0,2,2,0,8,8,0
Musik und darstellende Kunst,GE,EFZ,10,10,0,2,2,0,8,8,0
Musik und darstellende Kunst,GE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,,abt-total,1478,400,1078,779,186,593,699,214,485
Audiovisuelle Techniken und Medienproduktion,,EFZ,1478,400,1078,779,186,593,699,214,485
Audiovisuelle Techniken und Medienproduktion,,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZH,abt-total,180,0,180,92,0,92,88,0,88
Audiovisuelle Techniken und Medienproduktion,ZH,EFZ,180,0,180,92,0,92,88,0,88
Audiovisuelle Techniken und Medienproduktion,ZH,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BE,abt-total,176,18,158,90,3,87,86,15,71
Audiovisuelle Techniken und Medienproduktion,BE,EFZ,176,18,158,90,3,87,86,15,71
Audiovisuelle Techniken und Medienproduktion,BE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,LU,abt-total,99,22,77,44,8,36,55,14,41
Audiovisuelle Techniken und Medienproduktion,LU,EFZ,99,22,77,44,8,36,55,14,41
Audiovisuelle Techniken und Medienproduktion,LU,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,abt-total,3,0,3,1,0,1,2,0,2
Audiovisuelle Techniken und Medienproduktion,UR,EFZ,3,0,3,1,0,1,2,0,2
Audiovisuelle Techniken und Medienproduktion,UR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,abt-total,11,0,11,4,0,4,7,0,7
Audiovisuelle Techniken und Medienproduktion,SZ,EFZ,11,0,11,4,0,4,7,0,7
Audiovisuelle Techniken und Medienproduktion,SZ,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,abt-total,9,0,9,5,0,5,4,0,4
Audiovisuelle Techniken und Medienproduktion,OW,EFZ,9,0,9,5,0,5,4,0,4
Audiovisuelle Techniken und Medienproduktion,OW,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,abt-total,9,0,9,4,0,4,5,0,5
Audiovisuelle Techniken und Medienproduktion,NW,EFZ,9,0,9,4,0,4,5,0,5
Audiovisuelle Techniken und Medienproduktion,NW,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,abt-total,3,0,3,2,0,2,1,0,1
Audiovisuelle Techniken und Medienproduktion,GL,EFZ,3,0,3,2,0,2,1,0,1
Audiovisuelle Techniken und Medienproduktion,GL,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,abt-total,20,0,20,9,0,9,11,0,11
Audiovisuelle Techniken und Medienproduktion,ZG,EFZ,20,0,20,9,0,9,11,0,11
Audiovisuelle Techniken und Medienproduktion,ZG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,abt-total,63,40,23,41,27,14,22,13,9
Audiovisuelle Techniken und Medienproduktion,FR,EFZ,63,40,23,41,27,14,22,13,9
Audiovisuelle Techniken und Medienproduktion,FR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,abt-total,30,0,30,14,0,14,16,0,16
Audiovisuelle Techniken und Medienproduktion,SO,EFZ,30,0,30,14,0,14,16,0,16
Audiovisuelle Techniken und Medienproduktion,SO,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BS,abt-total,18,0,18,8,0,8,10,0,10
Audiovisuelle Techniken und Medienproduktion,BS,EFZ,18,0,18,8,0,8,10,0,10
Audiovisuelle Techniken und Medienproduktion,BS,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BL,abt-total,24,0,24,9,0,9,15,0,15
Audiovisuelle Techniken und Medienproduktion,BL,EFZ,24,0,24,9,0,9,15,0,15
Audiovisuelle Techniken und Medienproduktion,BL,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SH,abt-total,19,0,19,12,0,12,7,0,7
Audiovisuelle Techniken und Medienproduktion,SH,EFZ,19,0,19,12,0,12,7,0,7
Audiovisuelle Techniken und Medienproduktion,SH,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,abt-total,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,AR,EFZ,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,AR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,abt-total,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,AI,EFZ,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,AI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SG,abt-total,88,11,77,48,2,46,40,9,31
Audiovisuelle Techniken und Medienproduktion,SG,EFZ,88,11,77,48,2,46,40,9,31
Audiovisuelle Techniken und Medienproduktion,SG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,abt-total,19,0,19,9,0,9,10,0,10
Audiovisuelle Techniken und Medienproduktion,GR,EFZ,19,0,19,9,0,9,10,0,10
Audiovisuelle Techniken und Medienproduktion,GR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AG,abt-total,76,0,76,44,0,44,32,0,32
Audiovisuelle Techniken und Medienproduktion,AG,EFZ,76,0,76,44,0,44,32,0,32
Audiovisuelle Techniken und Medienproduktion,AG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TG,abt-total,60,0,60,32,0,32,28,0,28
Audiovisuelle Techniken und Medienproduktion,TG,EFZ,60,0,60,32,0,32,28,0,28
Audiovisuelle Techniken und Medienproduktion,TG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,abt-total,49,21,28,25,7,18,24,14,10
Audiovisuelle Techniken und Medienproduktion,TI,EFZ,49,21,28,25,7,18,24,14,10
Audiovisuelle Techniken und Medienproduktion,TI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,abt-total,280,156,124,155,75,80,125,81,44
Audiovisuelle Techniken und Medienproduktion,VD,EFZ,280,156,124,155,75,80,125,81,44
Audiovisuelle Techniken und Medienproduktion,VD,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,abt-total,83,31,52,44,14,30,39,17,22
Audiovisuelle Techniken und Medienproduktion,VS,EFZ,83,31,52,44,14,30,39,17,22
Audiovisuelle Techniken und Medienproduktion,VS,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,abt-total,65,48,17,40,28,12,25,20,5
Audiovisuelle Techniken und Medienproduktion,NE,EFZ,65,48,17,40,28,12,25,20,5
Audiovisuelle Techniken und Medienproduktion,NE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,abt-total,81,53,28,42,22,20,39,31,8
Audiovisuelle Techniken und Medienproduktion,GE,EFZ,81,53,28,42,22,20,39,31,8
Audiovisuelle Techniken und Medienproduktion,GE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,abt-total,3,0,3,1,0,1,2,0,2
Audiovisuelle Techniken und Medienproduktion,JU,EFZ,3,0,3,1,0,1,2,0,2
Audiovisuelle Techniken und Medienproduktion,JU,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,,abt-total,459,54,405,162,8,154,297,46,251
Design,,EFZ,459,54,405,162,8,154,297,46,251
Design,,EBA,0,0,0,0,0,0,0,0,0
Design,,nReglementiert,0,0,0,0,0,0,0,0,0
Design,ZH,abt-total,68,0,68,21,0,21,47,0,47
Design,ZH,EFZ,68,0,68,21,0,21,47,0,47
Design,ZH,EBA,0,0,0,0,0,0,0,0,0
Design,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Design,BE,abt-total,49,0,49,16,0,16,33,0,33
Design,BE,EFZ,49,0,49,16,0,16,33,0,33
Design,BE,EBA,0,0,0,0,0,0,0,0,0
Design,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Design,LU,abt-total,23,0,23,8,0,8,15,0,15
Design,LU,EFZ,23,0,23,8,0,8,15,0,15
Design,LU,EBA,0,0,0,0,0,0,0,0,0
Design,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,UR,abt-total,2,0,2,0,0,0,2,0,2
Design,UR,EFZ,2,0,2,0,0,0,2,0,2
Design,UR,EBA,0,0,0,0,0,0,0,0,0
Design,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Design,SZ,abt-total,3,0,3,2,0,2,1,0,1
Design,SZ,EFZ,3,0,3,2,0,2,1,0,1
Design,SZ,EBA,0,0,0,0,0,0,0,0,0
Design,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Design,OW,abt-total,4,0,4,1,0,1,3,0,3
Design,OW,EFZ,4,0,4,1,0,1,3,0,3
Design,OW,EBA,0,0,0,0,0,0,0,0,0
Design,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Design,NW,abt-total,4,0,4,0,0,0,4,0,4
Design,NW,EFZ,4,0,4,0,0,0,4,0,4
Design,NW,EBA,0,0,0,0,0,0,0,0,0
Design,NW,nReglementiert,0,0,0,0,0,0,0,0,0
