FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Sport,Sport,SO,EFZ,1,0,1,1,0,1,0,0,0
Sport,Sport,SO,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,BS,abt-total,3,0,3,3,0,3,0,0,0
Sport,Sport,BS,EFZ,3,0,3,3,0,3,0,0,0
Sport,Sport,BS,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,BL,abt-total,13,0,13,6,0,6,7,0,7
Sport,Sport,BL,EFZ,13,0,13,6,0,6,7,0,7
Sport,Sport,BL,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,SH,abt-total,1,0,1,1,0,1,0,0,0
Sport,Sport,SH,EFZ,1,0,1,1,0,1,0,0,0
Sport,Sport,SH,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,AR,abt-total,0,0,0,0,0,0,0,0,0
Sport,Sport,AR,EFZ,0,0,0,0,0,0,0,0,0
Sport,Sport,AR,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,AI,abt-total,0,0,0,0,0,0,0,0,0
Sport,Sport,AI,EFZ,0,0,0,0,0,0,0,0,0
Sport,Sport,AI,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,SG,abt-total,0,0,0,0,0,0,0,0,0
Sport,Sport,SG,EFZ,0,0,0,0,0,0,0,0,0
Sport,Sport,SG,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,GR,abt-total,0,0,0,0,0,0,0,0,0
Sport,Sport,GR,EFZ,0,0,0,0,0,0,0,0,0
Sport,Sport,GR,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,AG,abt-total,7,0,7,3,0,3,4,0,4
Sport,Sport,AG,EFZ,7,0,7,3,0,3,4,0,4
Sport,Sport,AG,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,TG,abt-total,2,0,2,1,0,1,1,0,1
Sport,Sport,TG,EFZ,2,0,2,1,0,1,1,0,1
Sport,Sport,TG,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,TI,abt-total,5,0,5,5,0,5,0,0,0
Sport,Sport,TI,EFZ,5,0,5,5,0,5,0,0,0
Sport,Sport,TI,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,VD,abt-total,11,0,11,6,0,6,5,0,5
Sport,Sport,VD,EFZ,11,0,11,6,0,6,5,0,5
Sport,Sport,VD,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,VS,abt-total,2,0,2,2,0,2,0,0,0
Sport,Sport,VS,EFZ,2,0,2,2,0,2,0,0,0
Sport,Sport,VS,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,NE,abt-total,6,0,6,4,0,4,2,0,2
Sport,Sport,NE,EFZ,6,0,6,4,0,4,2,0,2
Sport,Sport,NE,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,GE,abt-total,5,0,5,3,0,3,2,0,2
Sport,Sport,GE,EFZ,5,0,5,3,0,3,2,0,2
Sport,Sport,GE,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Sport,Sport,JU,abt-total,0,0,0,0,0,0,0,0,0
Sport,Sport,JU,EFZ,0,0,0,0,0,0,0,0,0
Sport,Sport,JU,EBA,0,0,0,0,0,0,0,0,0
Sport,Sport,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,,abt-total,1694,39,1655,960,4,956,734,35,699
Hauswirtschaft,Hauswirtschaftliche Dienste,,EFZ,1382,22,1360,901,3,898,481,19,462
Hauswirtschaft,Hauswirtschaftliche Dienste,,EBA,312,17,295,59,1,58,253,16,237
Hauswirtschaft,Hauswirtschaftliche Dienste,,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,ZH,abt-total,339,0,339,242,0,242,97,0,97
Hauswirtschaft,Hauswirtschaftliche Dienste,ZH,EFZ,287,0,287,224,0,224,63,0,63
Hauswirtschaft,Hauswirtschaftliche Dienste,ZH,EBA,52,0,52,18,0,18,34,0,34
Hauswirtschaft,Hauswirtschaftliche Dienste,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,BE,abt-total,214,2,212,114,2,112,100,0,100
Hauswirtschaft,Hauswirtschaftliche Dienste,BE,EFZ,177,2,175,109,2,107,68,0,68
Hauswirtschaft,Hauswirtschaftliche Dienste,BE,EBA,37,0,37,5,0,5,32,0,32
Hauswirtschaft,Hauswirtschaftliche Dienste,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,LU,abt-total,107,0,107,59,0,59,48,0,48
Hauswirtschaft,Hauswirtschaftliche Dienste,LU,EFZ,89,0,89,58,0,58,31,0,31
Hauswirtschaft,Hauswirtschaftliche Dienste,LU,EBA,18,0,18,1,0,1,17,0,17
Hauswirtschaft,Hauswirtschaftliche Dienste,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,UR,abt-total,9,0,9,7,0,7,2,0,2
Hauswirtschaft,Hauswirtschaftliche Dienste,UR,EFZ,8,0,8,7,0,7,1,0,1
Hauswirtschaft,Hauswirtschaftliche Dienste,UR,EBA,1,0,1,0,0,0,1,0,1
Hauswirtschaft,Hauswirtschaftliche Dienste,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,SZ,abt-total,28,0,28,17,0,17,11,0,11
Hauswirtschaft,Hauswirtschaftliche Dienste,SZ,EFZ,26,0,26,17,0,17,9,0,9
Hauswirtschaft,Hauswirtschaftliche Dienste,SZ,EBA,2,0,2,0,0,0,2,0,2
Hauswirtschaft,Hauswirtschaftliche Dienste,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,OW,abt-total,11,0,11,5,0,5,6,0,6
Hauswirtschaft,Hauswirtschaftliche Dienste,OW,EFZ,9,0,9,5,0,5,4,0,4
Hauswirtschaft,Hauswirtschaftliche Dienste,OW,EBA,2,0,2,0,0,0,2,0,2
Hauswirtschaft,Hauswirtschaftliche Dienste,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,NW,abt-total,10,0,10,8,0,8,2,0,2
Hauswirtschaft,Hauswirtschaftliche Dienste,NW,EFZ,10,0,10,8,0,8,2,0,2
Hauswirtschaft,Hauswirtschaftliche Dienste,NW,EBA,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,GL,abt-total,6,0,6,6,0,6,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,GL,EFZ,6,0,6,6,0,6,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,GL,EBA,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,ZG,abt-total,29,0,29,12,0,12,17,0,17
Hauswirtschaft,Hauswirtschaftliche Dienste,ZG,EFZ,22,0,22,10,0,10,12,0,12
Hauswirtschaft,Hauswirtschaftliche Dienste,ZG,EBA,7,0,7,2,0,2,5,0,5
Hauswirtschaft,Hauswirtschaftliche Dienste,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,FR,abt-total,68,0,68,37,0,37,31,0,31
Hauswirtschaft,Hauswirtschaftliche Dienste,FR,EFZ,52,0,52,34,0,34,18,0,18
Hauswirtschaft,Hauswirtschaftliche Dienste,FR,EBA,16,0,16,3,0,3,13,0,13
Hauswirtschaft,Hauswirtschaftliche Dienste,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,SO,abt-total,52,0,52,26,0,26,26,0,26
Hauswirtschaft,Hauswirtschaftliche Dienste,SO,EFZ,40,0,40,25,0,25,15,0,15
Hauswirtschaft,Hauswirtschaftliche Dienste,SO,EBA,12,0,12,1,0,1,11,0,11
Hauswirtschaft,Hauswirtschaftliche Dienste,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,BS,abt-total,40,0,40,25,0,25,15,0,15
Hauswirtschaft,Hauswirtschaftliche Dienste,BS,EFZ,26,0,26,21,0,21,5,0,5
Hauswirtschaft,Hauswirtschaftliche Dienste,BS,EBA,14,0,14,4,0,4,10,0,10
Hauswirtschaft,Hauswirtschaftliche Dienste,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,BL,abt-total,45,0,45,26,0,26,19,0,19
Hauswirtschaft,Hauswirtschaftliche Dienste,BL,EFZ,39,0,39,25,0,25,14,0,14
Hauswirtschaft,Hauswirtschaftliche Dienste,BL,EBA,6,0,6,1,0,1,5,0,5
Hauswirtschaft,Hauswirtschaftliche Dienste,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,SH,abt-total,26,0,26,14,0,14,12,0,12
Hauswirtschaft,Hauswirtschaftliche Dienste,SH,EFZ,22,0,22,14,0,14,8,0,8
Hauswirtschaft,Hauswirtschaftliche Dienste,SH,EBA,4,0,4,0,0,0,4,0,4
Hauswirtschaft,Hauswirtschaftliche Dienste,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,AR,abt-total,14,0,14,5,0,5,9,0,9
Hauswirtschaft,Hauswirtschaftliche Dienste,AR,EFZ,11,0,11,5,0,5,6,0,6
Hauswirtschaft,Hauswirtschaftliche Dienste,AR,EBA,3,0,3,0,0,0,3,0,3
Hauswirtschaft,Hauswirtschaftliche Dienste,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,AI,abt-total,1,0,1,0,0,0,1,0,1
Hauswirtschaft,Hauswirtschaftliche Dienste,AI,EFZ,1,0,1,0,0,0,1,0,1
Hauswirtschaft,Hauswirtschaftliche Dienste,AI,EBA,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,SG,abt-total,113,0,113,44,0,44,69,0,69
Hauswirtschaft,Hauswirtschaftliche Dienste,SG,EFZ,88,0,88,44,0,44,44,0,44
Hauswirtschaft,Hauswirtschaftliche Dienste,SG,EBA,25,0,25,0,0,0,25,0,25
Hauswirtschaft,Hauswirtschaftliche Dienste,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,GR,abt-total,32,0,32,17,0,17,15,0,15
Hauswirtschaft,Hauswirtschaftliche Dienste,GR,EFZ,28,0,28,17,0,17,11,0,11
Hauswirtschaft,Hauswirtschaftliche Dienste,GR,EBA,4,0,4,0,0,0,4,0,4
Hauswirtschaft,Hauswirtschaftliche Dienste,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,AG,abt-total,112,1,111,72,1,71,40,0,40
Hauswirtschaft,Hauswirtschaftliche Dienste,AG,EFZ,102,1,101,72,1,71,30,0,30
Hauswirtschaft,Hauswirtschaftliche Dienste,AG,EBA,10,0,10,0,0,0,10,0,10
Hauswirtschaft,Hauswirtschaftliche Dienste,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,TG,abt-total,58,0,58,23,0,23,35,0,35
Hauswirtschaft,Hauswirtschaftliche Dienste,TG,EFZ,47,0,47,22,0,22,25,0,25
Hauswirtschaft,Hauswirtschaftliche Dienste,TG,EBA,11,0,11,1,0,1,10,0,10
Hauswirtschaft,Hauswirtschaftliche Dienste,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,TI,abt-total,44,0,44,21,0,21,23,0,23
Hauswirtschaft,Hauswirtschaftliche Dienste,TI,EFZ,30,0,30,19,0,19,11,0,11
Hauswirtschaft,Hauswirtschaftliche Dienste,TI,EBA,14,0,14,2,0,2,12,0,12
Hauswirtschaft,Hauswirtschaftliche Dienste,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,VD,abt-total,151,0,151,84,0,84,67,0,67
Hauswirtschaft,Hauswirtschaftliche Dienste,VD,EFZ,128,0,128,75,0,75,53,0,53
Hauswirtschaft,Hauswirtschaftliche Dienste,VD,EBA,23,0,23,9,0,9,14,0,14
Hauswirtschaft,Hauswirtschaftliche Dienste,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,VS,abt-total,62,21,41,27,1,26,35,20,15
Hauswirtschaft,Hauswirtschaftliche Dienste,VS,EFZ,42,11,31,25,0,25,17,11,6
Hauswirtschaft,Hauswirtschaftliche Dienste,VS,EBA,20,10,10,2,1,1,18,9,9
Hauswirtschaft,Hauswirtschaftliche Dienste,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,NE,abt-total,42,0,42,21,0,21,21,0,21
Hauswirtschaft,Hauswirtschaftliche Dienste,NE,EFZ,35,0,35,19,0,19,16,0,16
Hauswirtschaft,Hauswirtschaftliche Dienste,NE,EBA,7,0,7,2,0,2,5,0,5
Hauswirtschaft,Hauswirtschaftliche Dienste,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,GE,abt-total,38,0,38,32,0,32,6,0,6
Hauswirtschaft,Hauswirtschaftliche Dienste,GE,EFZ,27,0,27,25,0,25,2,0,2
Hauswirtschaft,Hauswirtschaftliche Dienste,GE,EBA,11,0,11,7,0,7,4,0,4
Hauswirtschaft,Hauswirtschaftliche Dienste,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Hauswirtschaft,Hauswirtschaftliche Dienste,JU,abt-total,43,15,28,16,0,16,27,15,12
Hauswirtschaft,Hauswirtschaftliche Dienste,JU,EFZ,30,8,22,15,0,15,15,8,7
Hauswirtschaft,Hauswirtschaftliche Dienste,JU,EBA,13,7,6,1,0,1,12,7,5
Hauswirtschaft,Hauswirtschaftliche Dienste,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,,abt-total,1451,10,1441,153,0,153,1298,10,1288
Coiffeur,Coiffeurgewerbe und Schönheitspflege,,EFZ,1321,10,1311,131,0,131,1190,10,1180
Coiffeur,Coiffeurgewerbe und Schönheitspflege,,EBA,130,0,130,22,0,22,108,0,108
