"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2011";"Geschlecht - Total Vollschulisch 2011";"Geschlecht - Total Dual 2011";"Mann Ausbildungsform - Total 2011";"Mann Vollschulisch 2011";"Mann Dual 2011";"Frau Ausbildungsform - Total 2011";"Frau Vollschulisch 2011";"Frau Dual 2011"
"Ausbildungsfeld - Total";"Vaud";"EFZ";6353;952;5401;3780;566;3214;2573;386;2187
"Ausbildungsfeld - Total";"Vaud";"EBA";377;1;376;251;0;251;126;1;125
"Ausbildungsfeld - Total";"Vaud";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Valais / Wallis";"Ausbildungstyp - Total";3102;323;2779;1897;123;1774;1205;200;1005
"Ausbildungsfeld - Total";"Valais / Wallis";"EFZ";2871;282;2589;1780;118;1662;1091;164;927
"Ausbildungsfeld - Total";"Valais / Wallis";"EBA";200;10;190;113;1;112;87;9;78
"Ausbildungsfeld - Total";"Valais / Wallis";"Nicht reglementiert";31;31;0;4;4;0;27;27;0
"Ausbildungsfeld - Total";"Neuchâtel";"Ausbildungstyp - Total";2164;641;1523;1248;368;880;916;273;643
"Ausbildungsfeld - Total";"Neuchâtel";"EFZ";2046;641;1405;1184;368;816;862;273;589
"Ausbildungsfeld - Total";"Neuchâtel";"EBA";118;0;118;64;0;64;54;0;54
"Ausbildungsfeld - Total";"Neuchâtel";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Genève";"Ausbildungstyp - Total";3661;1416;2245;2279;895;1384;1382;521;861
"Ausbildungsfeld - Total";"Genève";"EFZ";3504;1416;2088;2170;895;1275;1334;521;813
"Ausbildungsfeld - Total";"Genève";"EBA";157;0;157;109;0;109;48;0;48
"Ausbildungsfeld - Total";"Genève";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Jura";"Ausbildungstyp - Total";935;181;754;576;82;494;359;99;260
"Ausbildungsfeld - Total";"Jura";"EFZ";886;174;712;547;82;465;339;92;247
"Ausbildungsfeld - Total";"Jura";"EBA";49;7;42;29;0;29;20;7;13
"Ausbildungsfeld - Total";"Jura";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schweiz";"Ausbildungstyp - Total";27;10;17;12;2;10;15;8;7
